999	15	35	92	21	27	59	26	999	999	36	68	29	
30	999	999	35	2	58	67	56	999	29	999	19	37	
24	70	999	91	56	62	96	5	84	36	46	13	24	
82	999	999	999	64	50	8	78	84	51	99	60	68	
12	86	39	70	999	67	97	999	92	56	80	41	89	
19	29	17	999	81	999	27	56	53	65	83	24	71	
29	19	68	15	999	96	999	45	51	55	88	28	50	
0	999	24	999	56	91	65	999	32	37	75	74	58	
29	35	18	43	28	76	43	13	999	40	18	88	17	
96	43	83	99	25	90	39	999	69	999	64	7	4	
11	28	43	68	22	10	1	30	5	36	999	22	8	
999	58	37	24	36	99	50	71	31	30	94	999	99	
99	59	13	90	26	84	999	84	42	7	56	18	999	
