
1	5	4	2	7	6	8	10	9	11	12	13	14	15	17	16	3	
2	5	4	7	1	6	8	10	9	11	12	13	14	15	17	16	3	
3	4	7	6	5	8	10	9	2	11	1	12	13	14	15	17	16	
4	7	6	5	8	10	9	2	11	1	12	13	14	15	17	16	3	
5	4	2	7	1	6	8	10	9	11	12	13	14	15	17	16	3	
6	8	4	9	7	10	5	11	15	12	2	1	16	13	14	17	3	
7	4	10	6	5	9	11	8	12	13	14	2	1	17	15	16	3	
8	6	9	10	4	7	11	5	15	12	16	13	14	2	17	1	3	
9	8	10	6	11	7	4	15	12	16	13	5	14	17	2	1	3	
10	9	11	7	8	12	4	6	13	14	17	5	15	16	2	1	3	
11	12	10	13	14	17	9	7	8	4	6	16	5	15	2	1	3	
12	13	14	11	17	10	9	16	7	8	4	15	6	5	2	1	3	
13	14	12	17	11	10	16	9	7	15	8	4	6	5	2	1	3	
14	13	12	17	11	16	10	15	9	7	8	4	6	5	2	1	3	
15	16	9	17	8	10	14	6	13	12	11	7	4	5	2	1	3	
16	15	17	14	13	12	9	11	8	10	6	7	4	5	2	1	3	
17	14	13	12	16	11	15	10	9	7	8	4	6	5	2	1	3	
