26	27	79
12	26	63
7	12	89
12	19	107
7	12	72
5	10	52
19	27	67
29	14	59
25	26	158
32	33	49
1	5	81
4	2	143
3	72	72
9	42	164
72	9	115
17	12	140
20	18	80
11	16	96
6	15	48
12	8	30
21	11	78
23	24	56
35	28	108
31	34	71
13	22	83
40	36	89
47	54	147
50	37	82
45	48	67
53	51	72
52	55	49
44	38	108
39	43	68
57	58	59
59	56	62
63	62	30
61	65	40
60	68	167
70	58	114	
67	69	35
75	71	45
78 	76	90
80	72	109
82	79	110
74	73	130
87	84	67
90	77	88
83	81	45
86	89	63
88	91	34
93	99	89
94	98	76
100	97	70
95	92	68
